"DAC","PI.Request.to.SO.Approval_Min","PI.Request.to.SO.Approval_Max","PI.Request.to.SO.Approval_Average","SO.Approval.to.DAC.Claim_Min","SO.Approval.to.DAC.Claim_Max","SO.Approval.to.DAC.Claim_Average","DAC.Claim.to.DAC.Approval_Min","DAC.Claim.to.DAC.Approval_Max","DAC.Claim.to.DAC.Approval_Average","DAC.Claim.to.DAC.Reject_Min","DAC.Claim.to.DAC.Reject_Max","DAC.Claim.to.DAC.Reject_Average","DAC.Claim.to.DAC.Revision_Min","DAC.Claim.to.DAC.Revision_Max","DAC.Claim.to.DAC.Revision_Average","Total.Time.for.DAC.Processing_Min","Total.Time.for.DAC.Processing_Max","Total.Time.for.DAC.Processing_Average","Date"
"NCI DAC",0,55.1,3.9,0.9,5.1,1.9,0,107,11,0,0.2,0.1,NA,NA,NA,0.9,109,10.5,"01/06/2016"
"NHGRI",0,7.7,3.1,0.9,1.4,1.1,0,0,0,NA,NA,NA,NA,NA,NA,1,1.5,1.2,"01/06/2016"
"NHLBI",0,55.8,14.3,0,0.7,0.5,0,25.9,14.6,NA,NA,NA,0,0,0,0,26.2,13.2,"01/06/2016"
"NICHD",9,9,9,5,5,5,29.1,29.1,29.1,NA,NA,NA,NA,NA,NA,34.2,34.2,34.2,"01/06/2016"
"NIDDK",0,0,0,0.7,0.7,0.7,0,0,0,NA,NA,NA,NA,NA,NA,0.7,0.7,0.7,"01/06/2016"
"NIGMS",15.6,15.6,15.6,1.9,1.9,1.9,NA,NA,NA,NA,NA,NA,4.9,4.9,4.9,6.8,6.8,6.8,"01/06/2016"
"NINDS",0.2,0.2,0.2,0.5,0.5,0.5,0,1.1,0.5,NA,NA,NA,NA,NA,NA,0.5,1.6,1.1,"01/06/2016"
"All DACs",0,55.8,6.2,0,7.7,1.7,0,107,29,0,0.2,0.1,0,54.9,19.9,0,109,28.8,"01/06/2016"
"CDAC",8.2,8.2,8.2,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,1,1,1,"01/07/2016"
"JAAMH",0,0,0,3.8,6.8,5.3,8.3,8.3,8.3,NA,NA,NA,NA,NA,NA,12.1,12.1,12.1,"01/07/2016"
"NCI DAC",0,17.2,5.2,0,4,1.5,0,22,7.3,0,0,0,NA,NA,NA,0.2,22,8.2,"01/07/2016"
"NHGRI",0.2,8.2,5.5,0,3.7,0.6,0,8.2,0.7,NA,NA,NA,NA,NA,NA,0.1,11.9,1.3,"01/07/2016"
"NHLBI",0,0,0,4.8,4.8,4.8,0,0,0,NA,NA,NA,NA,NA,NA,4.8,4.8,4.8,"01/07/2016"
"NIAMS",0.8,8.2,2.6,10.6,11,10.9,2.2,2.2,2.2,NA,NA,NA,NA,NA,NA,12.8,13.2,13.1,"01/07/2016"
"NICHD",0.2,0.2,0.2,3.8,3.8,3.8,8.2,8.2,8.2,NA,NA,NA,NA,NA,NA,12,12,12,"01/07/2016"
"NIDDK",0.8,8.2,4.5,0.1,0.7,0.4,5,6,5.5,NA,NA,NA,NA,NA,NA,5.7,6.1,5.9,"01/07/2016"
"NINDS",3.5,8.2,5.4,3.8,3.8,3.8,0,4.3,3.2,NA,NA,NA,NA,NA,NA,3.8,8.1,7,"01/07/2016"
"All DACs",0,17.2,4.6,0,11,2.3,0,22,3.1,0,0,0,NA,NA,NA,0.1,22,5.2,"01/07/2016"
"CDAC",25.1,25.1,25.1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,11,11,11,11.1,11.1,11.1,"01/08/2016"
"ES DAC",25.1,25.1,25.1,0,0,0,6.3,6.3,6.3,NA,NA,NA,NA,NA,NA,6.4,6.4,6.4,"01/08/2016"
"JAAMH",0.2,25.1,18,2.8,5.9,5.2,46.2,92.2,60.7,1,1,1,NA,NA,NA,3.8,97.9,61.1,"01/08/2016"
"NCI DAC",0,1.8,1,0,2.9,1.4,0,24.8,10.6,NA,NA,NA,NA,NA,NA,0,24.8,12,"01/08/2016"
"NEI",0.2,0.2,0.2,46.9,46.9,46.9,21.9,21.9,21.9,NA,NA,NA,NA,NA,NA,68.8,68.8,68.8,"01/08/2016"
"NHGRI",0.2,25.1,5.1,2.8,3.3,2.8,2.5,2.5,2.5,0.1,1.2,0.2,NA,NA,NA,2.9,5.8,3.6,"01/08/2016"
"NHLBI",0,25.1,4.2,3,3.8,3.6,1,20.2,12.5,0.4,21.1,15.4,0,0,0,3.7,24.2,16,"01/08/2016"
"NIAMS",25.1,25.1,25.1,9.8,9.8,9.8,8.1,8.1,8.1,NA,NA,NA,NA,NA,NA,17.9,17.9,17.9,"01/08/2016"
"NIDDK",0.2,0.2,0.2,3,3,3,1.8,1.8,1.8,NA,NA,NA,NA,NA,NA,4.8,4.8,4.8,"01/08/2016"
"NINDS",0.2,25.1,8.5,2.8,2.9,2.8,0,0,0,NA,NA,NA,NA,NA,NA,2.8,2.9,2.8,"01/08/2016"
"All DACs",0,25.1,12.1,0,46.9,4.8,0,92.2,44.4,0.1,21.1,3.9,0,11,3.7,0,97.9,38.2,"01/08/2016"
"JAAMH",0,2,1,4.5,4.9,4.7,47.1,47.1,47.1,NA,NA,NA,NA,NA,NA,51.6,51.6,51.6,"01/09/2016"
"NEI",0.4,0.4,0.4,23.4,23.4,23.4,14.8,14.8,14.8,NA,NA,NA,NA,NA,NA,38.2,38.2,38.2,"01/09/2016"
"NHLBI",0,0,0,2.9,2.9,2.9,NA,NA,NA,NA,NA,NA,0,0,0,2.9,2.9,2.9,"01/09/2016"
"All DACs",0,2,0.3,2.9,23.4,7.3,14.8,47.1,25.6,NA,NA,NA,0,0,0,2.9,51.6,16.1,"01/09/2016"
"JAAMH",0.2,4.4,2.3,0.6,3.5,2.4,46.2,49.1,47.5,NA,NA,NA,49.1,50,49.2,46.8,53.5,50.3,"01/10/2016"
"NCI DAC",6.4,30.6,15.7,0.5,1.2,0.8,0,0,0,0,0,0,NA,NA,NA,0.5,1.2,0.8,"01/10/2016"
"NHGRI",2.4,9.9,5.3,0.6,0.9,0.7,NA,NA,NA,0.1,0.1,0.1,NA,NA,NA,0.7,1,0.7,"01/10/2016"
"NICHD",0.3,0.3,0.3,0.7,0.7,0.7,29.1,29.1,29.1,NA,NA,NA,NA,NA,NA,29.8,29.8,29.8,"01/10/2016"
"NINDS",2.4,4.4,3.3,0.6,0.6,0.6,18,18,18,NA,NA,NA,0,0,0,0.6,18.6,9,"01/10/2016"
"All DACs",0.2,30.6,3.4,0.5,3.5,1.7,0,49.1,38.6,0,0.1,0.1,0,50,26.1,0.5,53.5,33.3,"01/10/2016"
"JAAMH",0,27.9,4.8,2.4,7.8,3.9,38.1,92.2,52.5,NA,NA,NA,50,50,50,45.8,94.6,56.2,"01/11/2016"
"NCI DAC",0,27.9,12.8,0,6.7,1,0,32,5.9,2,2,2,NA,NA,NA,0.4,32.1,7,"01/11/2016"
"NEI",6.8,6.8,6.8,21.5,21.5,21.5,0,0,0,NA,NA,NA,NA,NA,NA,21.6,21.6,21.6,"01/11/2016"
"NHGRI",0,27.9,17.7,0.1,7,1.6,0,2.3,0.9,NA,NA,NA,NA,NA,NA,0.1,9.2,2.5,"01/11/2016"
"NHLBI",0,23.9,7,0.8,2.2,1.1,21.2,36.2,24.8,50.2,50.2,50.2,0,0,0,23,52.3,27,"01/11/2016"
"NINDS",6.8,6.8,6.8,0.2,0.2,0.2,0,0,0,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,"01/11/2016"
"All DACs",0,27.9,9.3,0,21.5,2.1,0,92.2,22.7,2,50.2,26.1,0,50,12.5,0.1,94.6,25.7,"01/11/2016"
"JAAMH",0,6.9,4.7,1.8,7,2.6,38.1,50,48.4,NA,NA,NA,NA,NA,NA,45.1,52,51,"01/12/2016"
"NCI DAC",0,6.9,5.2,0,5.6,0.7,0,21.2,5.3,0,0.1,0.1,NA,NA,NA,0,22,5.2,"01/12/2016"
"NEI",4.9,6.9,5.7,20.1,20.4,20.2,0,14.8,8.5,NA,NA,NA,NA,NA,NA,20.4,35,28.7,"01/12/2016"
"NHGRI",0,140.1,7.8,0.7,6,1.8,0.8,12.2,2.3,0.2,0.2,0.2,NA,NA,NA,2,15.1,3.7,"01/12/2016"
"NHLBI",0,56.8,10.5,0.9,1.5,1.1,21.2,77.1,43.4,41.1,49.1,43.8,0,0,0,1.1,78,39.4,"01/12/2016"
"NIGMS",6.9,6.9,6.9,1.1,1.1,1.1,0,0,0,NA,NA,NA,NA,NA,NA,1.1,1.1,1.1,"01/12/2016"
"NINDS",0,6.9,4.8,1.9,2.2,2,0,1.2,0.2,NA,NA,NA,NA,NA,NA,1.9,3.4,2.2,"01/12/2016"
"All DACs",0,140.1,6.9,0,20.4,2.8,0,77.1,16.8,0,49.1,8.3,0,0,0,0,78,18.2,"01/12/2016"
"JAAMH",0,24.1,6.3,0.5,1.3,0.8,50,50.2,50.1,NA,NA,NA,50,50,50,50.5,51.3,50.9,"01/13/2016"
"NCI DAC",0,10.8,2.2,0,2.3,1.1,0.2,19.2,6.2,0,972.2,486.1,13.1,13.1,13.1,0.7,972.9,263.7,"01/13/2016"
"NEI",10.8,24.1,15.3,18.8,20.9,20.2,0,0,0,NA,NA,NA,0,0,0,18.9,21,20.3,"01/13/2016"
"NHGRI",0.5,105,8,0,5,1.6,0.2,12.2,2.9,0.2,4.2,2.2,NA,NA,NA,1.9,14,4.7,"01/13/2016"
"NHLBI",0.1,24.1,10.4,0.5,1.2,0.7,50.1,78.2,55.7,NA,NA,NA,NA,NA,NA,50.5,79.2,56.3,"01/13/2016"
"NIAMS",1.5,1.5,1.5,5.2,5.2,5.2,2.2,2.2,2.2,NA,NA,NA,NA,NA,NA,7.4,7.4,7.4,"01/13/2016"
"NIDDK",24.1,24.1,24.1,0.5,0.5,0.5,0,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,"01/13/2016"
"NIGMS",0,1.1,0.6,41.6,41.8,41.7,2.4,3.1,2.7,NA,NA,NA,NA,NA,NA,44,44.9,44.4,"01/13/2016"
"NINDS",0.5,2.2,2,0.7,1.4,0.8,0,0,0,NA,NA,NA,14.2,14.2,14.2,1.4,14.9,13.6,"01/13/2016"
"All DACs",0,105,7.3,0,41.8,2.3,0,78.2,25.8,0,972.2,389.3,0,50,18.4,0.5,972.9,67,"01/13/2016"
"JAAMH",0,10.1,7.5,0.2,18.5,6.3,31.1,31.1,31.1,NA,NA,NA,NA,NA,NA,49.5,49.5,49.5,"01/14/2016"
"NCI DAC",0,16,4.1,0,4,1.3,0,16.4,8.8,0.1,5.1,1.4,NA,NA,NA,0,20.4,8,"01/14/2016"
"NEI",2.2,2.2,2.2,39.8,39.8,39.8,50,50,50,NA,NA,NA,NA,NA,NA,89.8,89.8,89.8,"01/14/2016"
"NHGRI",0.9,10.1,7,0.8,0.8,0.8,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,1,1,1,"01/14/2016"
"NHLBI",0,10.1,5,0.2,0.7,0.5,19.1,21.2,19.8,NA,NA,NA,0,0,0,0.7,21.9,13,"01/14/2016"
"NIDCR",10.1,10.1,10.1,3.7,3.7,3.7,8.1,8.1,8.1,NA,NA,NA,NA,NA,NA,11.8,11.8,11.8,"01/14/2016"
"NINDS",0.8,0.8,0.8,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,"01/14/2016"
"All DACs",0,16,5.2,0,39.8,4.8,0,50,18.1,0.1,5.1,1.4,0,0,0,0,89.8,19,"01/14/2016"
"CDAC",0,0,0,0.1,0.1,0.1,0,0,0,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,"01/15/2016"
"JAAMH",0.1,10.7,8.3,2.8,18.2,15.8,31.1,31.1,31.1,0,0,0,NA,NA,NA,2.8,49.3,42.4,"01/15/2016"
"NCI DAC",0,20,6.7,0,11.9,2.3,0,19.1,2,0,0,0,NA,NA,NA,0.1,19.3,4,"01/15/2016"
"NEI",8,8,8,17,17,17,0,0,0,NA,NA,NA,NA,NA,NA,17,17,17,"01/15/2016"
"NHGRI",0.1,10.7,8.5,2.8,3.9,3.4,1.3,2.3,1.6,1.2,1.2,1.2,NA,NA,NA,4,5.4,5,"01/15/2016"
"NHLBI",0.1,10.7,7.1,0.2,4.1,3.3,16.2,85.4,23.9,17.2,87.4,44.4,NA,NA,NA,19.7,91,42,"01/15/2016"
"NICHD",8,8,8,4,4,4,0,0,0,NA,NA,NA,NA,NA,NA,4,4,4,"01/15/2016"
"NIDDK",8,10.7,8.7,3.7,3.8,3.7,0,2.2,1.1,NA,NA,NA,NA,NA,NA,3.7,6,4.8,"01/15/2016"
"NINDS",2,10.7,5.8,5,5.2,5.1,0.8,8.8,2.3,NA,NA,NA,NA,NA,NA,5.8,13.9,7.4,"01/15/2016"
"All DACs",0,20,7.7,0,18.2,7.5,0,85.4,13.2,0,87.4,23.6,NA,NA,NA,0.1,91,22,"01/15/2016"
"NCI DAC",12.2,12.2,12.2,2.8,2.8,2.8,1.3,1.3,1.3,NA,NA,NA,NA,NA,NA,4.1,4.1,4.1,"01/16/2016"
"All DACs",12.2,12.2,12.2,2.8,2.8,2.8,1.3,1.3,1.3,NA,NA,NA,NA,NA,NA,4.1,4.1,4.1,"01/16/2016"
"NCI DAC",3,3,3,0.6,0.6,0.6,16.4,16.4,16.4,NA,NA,NA,NA,NA,NA,17,17,17,"01/17/2016"
"All DACs",3,3,3,0.6,0.6,0.6,16.4,16.4,16.4,NA,NA,NA,NA,NA,NA,17,17,17,"01/17/2016"
"JAAMH",0,12.8,11.6,1.3,15.1,14.7,31.1,38.1,31.5,NA,NA,NA,31.1,31.1,31.1,39.4,46.2,46,"01/18/2016"
"NCI DAC",3.9,12.8,9.3,0.1,9.2,4.1,0.1,16.4,4.5,NA,NA,NA,NA,NA,NA,2.7,16.5,9.5,"01/18/2016"
"NEI",12.8,12.8,12.8,14.5,14.5,14.5,0,0,0,NA,NA,NA,NA,NA,NA,14.5,14.5,14.5,"01/18/2016"
"NHGRI",2.7,12.8,12.1,0.1,1,0.2,1.3,2.3,2.2,NA,NA,NA,NA,NA,NA,2.3,2.4,2.4,"01/18/2016"
"NHLBI",2.7,12.8,4.1,1.2,1.3,1.2,16.2,20.2,19.6,NA,NA,NA,NA,NA,NA,17.5,21.3,20.8,"01/18/2016"
"NIAMS",12.8,12.8,12.8,0.1,0.1,0.1,8.1,8.1,8.1,NA,NA,NA,NA,NA,NA,8.2,8.2,8.2,"01/18/2016"
"NIDDK",12.8,12.8,12.8,1.2,1.2,1.2,2.2,2.2,2.2,NA,NA,NA,NA,NA,NA,3.4,3.4,3.4,"01/18/2016"
"NINDS",12.8,12.8,12.8,2.5,2.5,2.5,0.9,0.9,0.9,NA,NA,NA,NA,NA,NA,3.4,3.4,3.4,"01/18/2016"
"All DACs",0,12.8,10.9,0.1,15.1,7.8,0,38.1,15.4,NA,NA,NA,31.1,31.1,31.1,2.3,46.2,26,"01/18/2016"
"ES DAC",4.2,4.2,4.2,2.8,2.8,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/19/2016"
"JAAMH",0.2,12,1.6,6.6,21.6,13.8,31.1,31.1,31.1,31.1,31.1,31.1,23.2,23.2,23.2,44.8,44.9,44.9,"01/19/2016"
"NCI DAC",0,8.1,2.7,0,7.7,1,0,24,7.6,0.1,24.1,6.1,NA,NA,NA,0,24.4,8.5,"01/19/2016"
"NHGRI",0,15.8,1.9,0.1,5.7,2.6,0.2,2.3,1.6,0.2,4.8,2.5,NA,NA,NA,0.9,8,4.4,"01/19/2016"
"NHLBI",1,11,4.3,0.1,0.8,0.4,17.1,17.1,17.1,13.9,13.9,13.9,51.9,51.9,51.9,14,52.1,28.4,"01/19/2016"
"NIDDK",15.8,15.8,15.8,0.9,0.9,0.9,1.2,1.2,1.2,NA,NA,NA,NA,NA,NA,2.2,2.2,2.2,"01/19/2016"
"NINDS",4.2,7.9,6.7,0.9,1.6,1.4,0.9,4.8,3.5,NA,NA,NA,NA,NA,NA,1.8,6.5,4.9,"01/19/2016"
"All DACs",0,15.8,2.7,0,21.6,2.9,0,31.1,8.5,0.1,31.1,9.3,23.2,51.9,42.3,0,52.1,12.7,"01/19/2016"
"CDAC",138.1,138.1,138.1,6.6,6.6,6.6,NA,NA,NA,9.2,9.2,9.2,9.2,9.2,9.2,15.8,15.8,15.8,"01/20/2016"
"JAAMH",12.8,15.9,13.8,12.7,20.9,15.5,23.2,31.1,28.5,NA,NA,NA,NA,NA,NA,43.8,44.1,44,"01/20/2016"
"NCI DAC",0,138.1,49.6,0,7,2.2,0,22.9,6.2,0,965.1,519.3,5.2,26,23,0.1,965.9,230.7,"01/20/2016"
"NHGRI",0,138.1,45.7,0,5.2,1,0.2,6.1,2.2,0.2,0.3,0.2,NA,NA,NA,0.2,7.1,1.5,"01/20/2016"
"NHLBI",0.2,12.8,3.5,0,4.6,0.8,4.3,84.2,24.7,20.1,20.1,20.1,297.1,297.1,297.1,8.9,299,39.7,"01/20/2016"
"NIAMS",5.5,5.6,5.6,9.1,9.1,9.1,NA,NA,NA,3.3,3.3,3.3,3.3,3.3,3.3,12.4,12.5,12.4,"01/20/2016"
"NIGMS",0.2,138.1,34.7,34.5,34.6,34.6,3.1,3.2,3.1,NA,NA,NA,NA,NA,NA,37.7,37.8,37.7,"01/20/2016"
"NINDS",0.4,0.4,0.4,0.3,0.3,0.3,0.9,0.9,0.9,NA,NA,NA,NA,NA,NA,1.2,1.2,1.2,"01/20/2016"
"All DACs",0,138.1,28.2,0,34.6,3.4,0,84.2,16.8,0,965.1,251.3,3.3,297.1,69.8,0.1,965.9,93.4,"01/20/2016"
"ES DAC",0,0,0,0.8,0.8,0.8,5.9,5.9,5.9,NA,NA,NA,NA,NA,NA,6.7,6.7,6.7,"01/21/2016"
"JAAMH",10,10,10,5.3,12.3,10,73.2,73.2,73.2,NA,NA,NA,1.1,1.1,1.1,6.4,85.5,59.1,"01/21/2016"
"NCI DAC",0,3.1,0.2,0.1,5.6,0.9,0,19.9,5.8,0,17.9,6,NA,NA,NA,0.1,20.5,7.2,"01/21/2016"
"NHGRI",0,10.1,4.8,0,4,1.7,0,13.1,2.5,0,2.3,0.5,NA,NA,NA,0.2,13.7,3.5,"01/21/2016"
"NHLBI",0,8.3,1.7,0.8,3.8,3.1,0,8.2,2.7,NA,NA,NA,294.3,294.3,294.3,0.8,298.1,210,"01/21/2016"
"NIAMS",1.8,1.8,1.8,8,8,8,12,12,12,NA,NA,NA,NA,NA,NA,20,20,20,"01/21/2016"
"All DACs",0,10.1,2.1,0,12.3,2.1,0,73.2,8.7,0,17.9,2.3,1.1,294.3,257.7,0.1,298.1,50.1,"01/21/2016"
"JAAMH",10,10,10,11,11,11,NA,NA,NA,NA,NA,NA,31.1,31.1,31.1,42.1,42.1,42.1,"01/22/2016"
"NCI DAC",0,10.1,3.2,0,4.7,2.1,0,24.8,8.3,NA,NA,NA,NA,NA,NA,0,24.8,10.5,"01/22/2016"
"NHGRI",4.1,10.1,6.5,2.6,2.7,2.7,0,23.3,4.7,0,0,0,NA,NA,NA,2.7,26,7.3,"01/22/2016"
"NHLBI",0,64.2,11.4,2.7,2.8,2.8,14.2,80.3,58.3,11.2,11.2,11.2,NA,NA,NA,16.9,83.1,61.1,"01/22/2016"
"All DACs",0,64.2,7.2,0,11,2.9,0,80.3,24,0,11.2,7.4,31.1,31.1,31.1,0,83.1,27.3,"01/22/2016"
"All DACs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/23/2016"
"NCI DAC",12.5,12.5,12.5,0.7,0.7,0.7,18,18,18,NA,NA,NA,NA,NA,NA,18.8,18.8,18.8,"01/24/2016"
"All DACs",12.5,12.5,12.5,0.7,0.7,0.7,18,18,18,NA,NA,NA,NA,NA,NA,18.8,18.8,18.8,"01/24/2016"
"CDAC",0,0,0,1.5,1.5,1.5,9.2,9.2,9.2,NA,NA,NA,NA,NA,NA,10.7,10.7,10.7,"01/25/2016"
"ES DAC",6.1,6.1,6.1,3.2,3.2,3.2,5.9,5.9,5.9,NA,NA,NA,NA,NA,NA,9.1,9.1,9.1,"01/25/2016"
"JAAMH",0.1,286.9,59.9,7.8,15.9,9.9,23.2,31.1,28.5,NA,NA,NA,31.1,31.1,31.1,38.9,39.1,39.1,"01/25/2016"
"NCI DAC",0,20.9,4.7,0,6.9,1.1,0.1,18,3.6,NA,NA,NA,18.2,18.2,18.2,1.8,18.2,5.7,"01/25/2016"
"NEI",6.1,6.1,6.1,7.4,7.4,7.4,0,0,0,NA,NA,NA,NA,NA,NA,7.4,7.4,7.4,"01/25/2016"
"NHGRI",0,111.7,6,0,6.9,2.7,0,7,2.1,0,11.9,2.2,NA,NA,NA,0,14.5,4.8,"01/25/2016"
"NHLBI",0,6.1,0.8,0,1,0.6,44.9,80.3,50.8,0,45,15,8,8,8,0.6,80.3,29.5,"01/25/2016"
"NIDCR",1.7,1.7,1.7,4.1,4.1,4.1,11,11,11,NA,NA,NA,NA,NA,NA,15.2,15.2,15.2,"01/25/2016"
"NIDDK",13,13,13,0.1,0.1,0.1,3,3,3,NA,NA,NA,NA,NA,NA,3.1,3.1,3.1,"01/25/2016"
"NINDS",0.5,6.1,2.8,0.1,3,1.5,0,1,0.5,NA,NA,NA,NA,NA,NA,0.1,4,2,"01/25/2016"
"All DACs",0,286.9,6.4,0,15.9,2,0,80.3,8.1,0,45,5.4,8,31.1,14.2,0,80.3,10.5,"01/25/2016"
"CDAC",0.1,0.1,0.1,1.2,1.2,1.2,9.2,9.2,9.2,NA,NA,NA,NA,NA,NA,10.4,10.4,10.4,"01/26/2016"
