"DAC","Study Accession","Study Release Date","Embargo End Date","Study Name"
"JAAMH","phs000451.v1.p1","09/13/2012","09/13/2012","NHLBI and NIA The New England Centenarian Study (NECS)"
"JAAMH","phs000454.v1.p1","06/25/2013","06/25/2014","HIV-1 Host Genetics Among Injection Drug Users"
"JAAMH","phs000473.v2.p2","10/26/2016","10/26/2016","Sweden-Schizophrenia Population-Based Case-Control Exome Sequencing"
"JAAMH","phs000482.v1.p1","09/07/2012","09/07/2012","Sporadic Autism Exomes Reveal a Highly Interconnected Protein Network of De Novo Mutations"
"JAAMH","phs000486.v1.p1","12/18/2014","12/18/2015","Integration of Genomics and Transcriptomics in unselected Twins and in Major Depression"
"JAAMH","phs000496.v1.p1","07/09/2014","07/09/2015","Columbia University Study of Caribbean Hispanics and Late Onset Alzheimer's disease"
"JAAMH","phs000560.v1.p1","07/25/2014","07/25/2015","The Detroit Neighborhood Health Study (DNHS)"
"JAAMH","phs000572.v8.p4","12/05/2019","05/15/2017","Alzheimer's Disease Sequencing Project (ADSP)"
"JAAMH","phs000607.v3.p2","05/17/2018","05/17/2018","Neurodevelopmental Genomics: Trajectories of Complex Phenotypes"
"JAAMH","phs000608.v1.p1","12/13/2013","12/13/2014","Whole Genome Profiling to Detect Schizophrenia Methylation Markers"
"JAAMH","phs000609.v1.p1","06/20/2013","06/20/2013","RNA-Seq studies of Gene Expression in Cells and Networks in FI and ACC in Autism"
"JAAMH","phs000619.v1.p1","09/05/2013","09/05/2013","Epigenetic Marks as Peripheral Biomarkers of Autism"
"JAAMH","phs000620.v1.p1","06/24/2015","06/24/2016","Minnesota Center for Twin and Family Research (MCTFR)"
"JAAMH","phs000630.v1.p1","05/02/2014","05/02/2014","Exome Chip Study of NIMH Controls"
"JAAMH","phs000639.v1.p1","11/05/2015","11/05/2015","Human Autism Genetics and Activity Dependent Gene Activation"
"JAAMH","phs000658.v1.p1","01/30/2014","01/30/2014","MDD2000AFFY"
"JAAMH","phs000679.v1.p1","04/09/2014","04/09/2014","Genome-Wide Association Study of Anorexia Nervosa"
"JAAMH","phs000682.v1.p1","04/11/2014","04/11/2015","Genetics of Neuropsychiatric and Neurodevelopmental Disorders"
"JAAMH","phs000687.v1.p1","03/26/2015","09/26/2015","Bulgarian Schizophrenia Trio Sequencing Study"
"JAAMH","phs000692.v1.p1","02/27/2014","02/27/2014","A Pharmcogenetic Study of Bipolar Disorder in a Taiwanese Han Chinese Population (TWBP)"
"JAAMH","phs000700.v2.p1","11/27/2019","04/23/2015","RoadmapEpigenomics_Broad"
"JAAMH","phs000713.v1.p1","10/21/2014","10/21/2014","GDNF and Anxiety"
"JAAMH","phs000726.v1.p1","03/17/2015","03/17/2015","Genome-wide Association Study of Myasthenia Gravis"
"JAAMH","phs000738.v1.p1","05/12/2014","05/12/2014","Exome Sequencing in Schizophrenia Families"
"JAAMH","phs000745.v1.p1","08/15/2014","08/15/2015","RNAseq analysis of posterior cingulate astrocytes in Alzheimer's disease"
"JAAMH","phs000755.v2.p1","01/08/2019","05/23/2018","BrainSpan Atlas of the Human Brain"
"JAAMH","phs000763.v1.p1","01/22/2015","01/22/2016","The Collaborative Study on the Genetics of Alcoholism (COGA)"
"JAAMH","phs000764.v1.p1","11/05/2014"," ","dbGaP Collection: NIH Autism -omics Studies"
"JAAMH","phs000775.v1.p1","07/25/2014","07/25/2014","Joint Genome-Wide Gene Expression and GWAS Mapping in the MGS Dataset"
"JAAMH","phs000788.v2.p3","05/15/2018","05/15/2018","Research Program on Genes, Environment and Health (RPGEH)"
"JAAMH","phs000791.v2.p1","01/21/2020","12/24/2016","Integrated Epigenetic Maps of Human Embryonic, Extraembryonic and Adult Cells"
"JAAMH","phs000825.v1.p1","11/20/2014","11/20/2014","Whole Genome Sequencing of HUES63 and HUES64"
"JAAMH","phs000832.v1.p1","04/02/2015","04/02/2015","Sensitivity to the subjective effects of amphetamine"
"JAAMH","phs000833.v7.p1","11/27/2017","11/27/2017","Single Cell Analysis Program - Transcriptome (SCAP-T)"
"JAAMH","phs000852.v1.p1","08/01/2017","08/01/2017","GEDI: A Developmental Model of Gene-Environment Interplay in SUDs"
"JAAMH","phs000864.v1.p1","07/15/2015","07/15/2015","Genomic Predictors of Combat Stress Vulnerability and Resilience"
"JAAMH","phs000866.v1.p1","10/20/2016","10/20/2016","Family Genomics of Bipolar Disorder"
"JAAMH","phs000887.v1.p1","03/20/2015"," ","dbGaP Collection: Open Translational Science in Schizophrenia (OPTICS)"
"JAAMH","phs000899.v1.p1","05/01/2019","05/01/2019","NIMH Amish Mennonite Bipolar Genetics Study (AmBiGen)"
"JAAMH","phs000903.v1.p1","10/26/2015","02/01/2016","OCD Collaborative Genetic Association Study (OCGAS)"
"JAAMH","phs000952.v1.p1","03/15/2016","03/15/2017","Substance Dependence GWAS in European- and African - Americans"
"JAAMH","phs000976.v1.p1","08/30/2016","03/02/2017","COGA: African American Family GWAS"
"JAAMH","phs000979.v3.p2","09/20/2019","05/09/2019","HBCC Postmortem Psychiatric Molecular Studies"
"JAAMH","phs000989.v3.p1","11/28/2017","01/12/2016","Study of Human Developmental Neurogenesis"
"JAAMH","phs001020.v2.p1","02/07/2020","12/14/2016","Genomic Psychiatry Cohort (GPC) Whole Genome Sequencing and Genotyping Study"
"JAAMH","phs001022.v1.p1","08/18/2017","08/18/2017","PsychENCODE: Autism Transcriptional and Epigenetic Profiling"
"JAAMH","phs001109.v3.p2","04/09/2020","12/30/2019","Addictions: Genotypes and Genetic Correlates"
"JAAMH","phs001135.v2.p1","09/14/2020","02/02/2017","Starting Treatment with Agonist Replacement Therapies (START)"
"JAAMH","phs001157.v1.p1","06/14/2017","06/14/2017","Wisconsin Longitudinal Study on Aging"
"JAAMH","phs001195.v1.p1","03/29/2018","03/29/2018","A Study to Assess the Cardiovascular, Cognitive, and Subjective Effects of Atomoxetine in Combination with Intravenous Methamphetamine"
"JAAMH","phs001196.v1.p1","11/15/2019","11/15/2019","Schizophrenia Trios from Taiwan"
"JAAMH","phs001197.v1.p1","05/01/2018","05/01/2018","Neural Systems, Inhibitory Control, and Methamphetamine Dependence"
"JAAMH","phs001198.v1.p1","06/01/2018","06/01/2018","Early Methamphetamine Abstinence: fMRI and Brain Function"
"JAAMH","phs001208.v2.p1","09/04/2019","09/04/2019","COGA: Smokescreen GWAS"
"JAAMH","phs001209.v1.p1","10/20/2017","10/20/2017","MIDCIRS Reveals Antibody Diversification in Young Children with Malaria"
"JAAMH","phs001213.v2.p1","04/16/2020","02/02/2017","Molecular Genetics of Heroin Dependence in China"
"JAAMH","phs001254.v1.p1","12/01/2016"," ","dbGaP Collection: Psychiatric Genomics Consortium (PGC) dbGaP Datasets"
"JAAMH","phs001266.v2.p1","09/14/2020","03/15/2018","Genome-Wide Analysis for Addiction Susceptibility Genes"
"JAAMH","phs001299.v2.p1","09/14/2020","04/26/2018","Nicotine Addiction Genetics and Correlates"
"JAAMH","phs001300.v1.p1","03/21/2018","03/21/2018","NABEC: North American Brain Expression Consortium"
"JAAMH","phs001344.v1.p1","05/15/2018","05/15/2018","GnRH Agonist-Induced Ovarian Suppression and Ovarian Steroids in PMDD and Controls"
"JAAMH","phs001364.v1.p1","03/01/2018","03/01/2018","Mapping the Human Connectome: Structure, Function, and Heritability"
"JAAMH","phs001377.v1.p1","10/02/2017","10/02/2017","Epigenetics of Cocaine and Nicotine Addiction"
"JAAMH","phs001406.v1.p1","10/31/2019","10/31/2019","Duke Cognition Cohort"
"JAAMH","phs001423.v2.p2","12/28/2018","12/28/2018","Whole Exome Sequencing in Tourette Disorder in Simplex Trios-TIC Genetics"
"JAAMH","phs001438.v1.p1","12/21/2017","12/21/2017","Chromatin Accessibility in Developing Human Brain"
"JAAMH","phs001458.v1.p1","04/20/2018","04/20/2018","Deep Sequencing Studies for Cannabis and Stimulant Dependence"
"JAAMH","phs001463.v1.p1","04/02/2018","04/02/2018","Differential Transcription Start Site Usage in Brain-Related Samples"
"JAAMH","phs001494.v1.p1","03/14/2018","03/14/2018","AIDS Linked to the Intravenous Experience (ALIVE) Cohort"
"JAAMH","phs001503.v1.p1","05/14/2018","05/14/2018","Women's Interagency HIV Study (WIHS)"
"JAAMH","phs001532.v2.p1","09/01/2020","09/01/2020","Nicotine Dependence GWAS Meta-Analysis"
"JAAMH","phs001559.v1.p1","08/23/2018","08/23/2018","Contribution of Genetic Polymorphisms to the Abuse Liability of Oxycodone"
"JAAMH","phs001590.v1.p1","08/17/2020","08/17/2020","National Epidemiologic Survey on Alcohol and Related Conditions-III (NESARC-III)"
"JAAMH","phs001625.v1.p1","03/27/2019","03/27/2019","Whole Genome Sequencing in Psychotic Major Depression"
"JAAMH","phs001647.v1.p1","09/27/2018","09/27/2018","Varieties of Impulsivity in Opiate and Stimulant Users"
"JAAMH","phs001649.v1.p1","02/27/2019","02/27/2019","Center for Education and Drug Abuse Research (CEDAR)"
"JAAMH","phs001734.v1.p1","04/03/2019","04/03/2019","Youth Drug Abuse, ADHD and Related Disorders"
"JAAMH","phs001754.v2.p1","03/13/2020","03/05/2020","Spit for Science"
"JAAMH","phs001788.v1.p1","01/21/2020","01/21/2020","CFAR Network of Integrated Clinical Systems (CNICS)"
"JAAMH","phs001790.v1.p1","03/21/2019","03/21/2019","NIMH Human Middle Temporal Gyrus (MTG) Cell Types"
"JAAMH","phs001791.v1.p1","03/21/2019","03/21/2019","A Multimodal Atlas of Human Brain Cell Types"
"JAAMH","phs001804.v1.p1","06/28/2019","06/28/2019","Genetic Epidemiology of Opioid Dependence in Bulgaria (GEODB)"
"JAAMH","phs001807.v1.p1","06/13/2019","06/13/2019","InTEAM Consortium - Alcoholic Hepatitis"
"JAAMH","phs001808.v1.p1","11/12/2019","11/12/2019","Landscape of Somatic Mutations in B Lymphocytes Across Human Lifespan"
"JAAMH","phs001810.v1.p1","08/01/2019","08/01/2019","Gene-Environment Interactions in COCCaINE Use Disorder (COCCaINE)"
"JAAMH","phs001826.v1.p1","10/09/2019","10/09/2019","Intern Health Study (IHS)"
"JAAMH","phs001836.v1.p1","07/18/2019","07/18/2019","A Single Cell Transcriptomic Analysis of Human Neocortical Development"
"JAAMH","phs001869.v1.p1","10/03/2019","10/03/2019","ADHD Genomic Association Study"
"JAAMH","phs001876.v1.p1","11/25/2019","11/25/2019","Rare CNVs in High-Risk Infant Siblings of Individuals With Autism"
"JAAMH","phs001900.v1.p1","03/09/2020","03/09/2020","Genetic Control of Expression and Splicing in Developing Human Brain"
"JAAMH","phs001932.v1.p1","04/09/2020","04/09/2020","RNAseq Transcriptomic Analyses of European Ancestry Samples in MGS Dataset"
"JAAMH","phs001992.v1.p1","08/11/2020","08/11/2020","Reference Haplotypes for Complement Component 4 (C4) Gene Variation"
"Kids First DAC","phs001110.v3.p1","09/16/2020","05/25/2017","Kids First: Pediatric Research Project on the Genomic Analysis of Congenital Diaphragmatic Hernia"
"Kids First DAC","phs001138.v3.p2","03/26/2019","09/14/2018","GMKF: Kids First Pediatric Research Program in Congenital Heart Disease"
"Kids First DAC","phs001168.v2.p2","04/05/2019","03/20/2018","Kids First: Genomic Studies of Orofacial Cleft Birth Defects"
"Kids First DAC","phs001178.v1.p1","03/19/2019","03/19/2019","UCLA/Gabriella Miller Kids First Disorders of Sex Development Study"
"Kids First DAC","phs001247.v1.p1","08/24/2018","08/24/2018","GMKF: Congenital Cranial Dysinnervation Disorders (CCDD) and Related Conditions"
"Kids First DAC","phs001410.v1.p1","10/12/2018","10/12/2018","Kids First: Pediatric Research Project on Adolescent Idiopathic Scoliosis"
"Kids First DAC","phs001420.v1.p1","06/14/2019","06/14/2019","Kids First: Genomics of Orofacial Cleft Birth Defects in Latin American Families"
"Kids First DAC","phs001436.v1.p1","09/25/2019","09/25/2019","Discovering the Genetic Basis of Human Neuroblastoma: A Kids First Project"
"Kids First DAC","phs001987.v1.p1","04/10/2020","04/10/2020","Kids First: Enchondromatoses and Related Malignant Tumors"
"Kids First DAC","phs001997.v1.p1","05/22/2020","05/22/2020","Kids First: Genomics of African and Asian Orofacial Clefts Triads"
"NCATS","phs000521.v2.p1","05/01/2020","10/26/2017","Episodic Ataxia Syndrome: Longitudinal Study"
"NCATS","phs000574.v1.p1","03/13/2017","03/13/2017","Rett Syndrome Natural History Protocol"
"NCATS","phs000575.v2.p1","03/02/2020","03/02/2020","PWS Natural History Protocol"
"NCATS","phs000576.v1.p1","03/20/2017","03/20/2017","Angelman Syndrome Natural History Protocol"
"NCATS","phs000577.v1.p1","01/31/2018","01/31/2018","UCDC Longitudinal Study"
"NCATS","phs000578.v1.p1","10/24/2017","10/24/2017","Nondystrophic Myotonias"
"NCATS","phs000592.v1.p1","07/27/2017","07/27/2017","Screening Protocol and Longitudinal Study of Bone Marrow Failure Syndromes and Cytopenias"
"NCATS","phs000594.v1.p1","06/21/2017","06/21/2017","A Phase 2 Study of Tipifarnib in Large Granular Lymphocyte (LGL) Leukemia"
"NCATS","phs000595.v1.p1","08/18/2017","08/18/2017","PCD Cross-Sectional"
"NCATS","phs000596.v1.p1","08/18/2017","08/18/2017","Longitudinal Study of PCD: 5-18 Years of Age"
"NCATS","phs000603.v1.p1","03/14/2018","03/14/2018","AME Natural History Protocol"
"NCATS","phs000605.v1.p1","03/30/2018","03/30/2018","Multicenter International Lymphangioleiomyomatosis Efficacy of Sirolimus Trial (The MILES Trial)"
"NCATS","phs000606.v1.p1","03/16/2018","03/16/2018","HIT after Cardiac Bypass"
"NCATS","phs000695.v1.p1","04/06/2018","04/06/2018","A Phase I/II Trial of Sirolimus (Rapamune®) and Cyclosporine in Patients with Refractory Aplastic Anemia"
"NCATS","phs000697.v1.p1","04/18/2018","04/18/2018","Effects of Antithymocyte Globulin in Adults With Myelodysplastic Syndrome"
"NCATS","phs000698.v1.p1","03/30/2018","03/30/2018","The Use of High Resolution Chest Computed Tomography in Alpha-1 Antitrypsin Deficiency (QUANTUM-1)"
"NCATS","phs000701.v1.p1","07/28/2016","07/28/2016","Dietary Supplements for the Treatment of Angelman Syndrome"
"NCATS","phs000862.v1.p1","05/31/2018","05/31/2018","Immune Response to IT ERT in Mucopolysaccharidosis I Patient"
"NCATS","phs000947.v1.p1","10/06/2015","10/06/2015","DNA methylation in SLE-related autoantibodies"
"NCATS","phs001108.v1.p1","04/16/2018","04/16/2018","Assessing Neural Mechanisms using MRI and Magnetic Resonance Spectroscopy"
"NCATS","phs001278.v1.p1","06/26/2017","06/26/2017","Longitudinal Study of the Porphyrias"
"NCATS","phs001279.v1.p1","02/09/2018","02/09/2018","Cross-Sectional Characterization of Idiopathic Bronchiectasis"
"NCATS","phs001281.v2.p1","08/15/2019","02/27/2017","Establish Reliability for qEEG, Transcranial Doppler and OCT in SWS"
"NCATS","phs001288.v1.p1","11/13/2017","11/13/2017","Evaluating the Genetic Causes and Progression of Cholestatic Liver Diseases (LOGIC)"
"NCATS","phs001289.v1.p1","05/01/2018","05/01/2018","Characteristics of Andersen-Tawil Syndrome"
"NCATS","phs001292.v2.p1","07/18/2019","07/18/2019","Sleep in Rare Disease"
"NCATS","phs001295.v2.p1","05/06/2019","07/06/2017","INC Contact Registry Study"
"NCATS","phs001296.v2.p1","08/19/2019","08/19/2019","UCD Imaging Study"
"NCATS","phs001305.v1.p1","01/19/2018","01/19/2018","Buphenyl and Low-Dose Arginine Vs. High-Dose Arginine in Patients with ASA"
"NCATS","phs001309.v1.p1","05/22/2018","05/22/2018","MICEPAP Trial"
"NCATS","phs001310.v1.p1","10/23/2017","10/23/2017","PCD Longitudinal Prior to 10"
"NCATS","phs001311.v1.p1","05/22/2018","05/22/2018","Mexiletine in Non-Dystrophic Myotonia"
"NCATS","phs001313.v1.p1","05/25/2018","05/25/2018","Examining Genetic Differences Among People With 21-Hydroxylase Deficiency"
"NCATS","phs001314.v1.p1","07/02/2018","07/02/2018","OPG in CAH"
"NCATS","phs001316.v1.p1","06/22/2018","06/22/2018","TAPP-ATS"
"NCATS","phs001317.v1.p1","06/13/2018","06/13/2018","Long-Term Outcome in Offspring and Mothers of Dexamethasone-Treated Pregnancies at Risk for Classical Congenital Adrenal Hyperplasia Owing to 21-Hydroxylase Deficiency"
"NCATS","phs001318.v1.p1","06/22/2018","06/22/2018","Phase I/II Study of Revlimid/Azacitidine"
"NCATS","phs001326.v1.p1","06/26/2018","06/26/2018","A Retrospective and Cross-Sectional Analysis of Patients Treated for SCID Since January 1, 1968"
"NCATS","phs001328.v1.p1","06/02/2017","06/02/2017","Longitudinal Studies of Brain Structure and Function in MPS Disorders"
"NCATS","phs001329.v2.p1","05/15/2019","05/15/2019","The Natural History of Mucolipidosis Type IV"
"NCATS","phs001330.v2.p1","02/18/2020","05/18/2018","Characterizing Phenotype(s) in MPS III"
"NCATS","phs001331.v2.p1","09/16/2019","09/16/2019","Immune Mediated Disorders after Allo-HCG"
"NCATS","phs001332.v2.p1","12/06/2019","02/16/2018","Spinocerebellar Ataxias Natural History"
"NCATS","phs001333.v2.p1","10/01/2019","06/27/2017","Natural History in Fabry Renal Disease"
"NCATS","phs001382.v1.p1","10/12/2017","10/12/2017","Reproductive Health in Men and Women with Vasculitis"
"NCATS","phs001392.v1.p1","10/23/2017","10/23/2017","Natural History Study of SCID Disorders"
"NCATS","phs001419.v1.p1","12/11/2017","12/11/2017","INC Natural History Study"
"NCATS","phs001430.v2.p1","02/25/2020","02/25/2020","STAIR SLOS Longitudinal Study of Patients Receiving Cholesterol"
"NCATS","phs001538.v1.p1","06/25/2018","06/25/2018","NAMDC Patient Registry and Biorepository"
"NCATS","phs001553.v1.p1","04/10/2018","04/10/2018","CMT Pediatric Scale"
"NCATS","phs001555.v1.p1","05/08/2018","05/08/2018","CRIM Status and Follow-up of Individuals with Pompe Disease"
"NCATS","phs001595.v1.p1","07/12/2018","07/12/2018","Norepinephrine Transporter Blockade in Neurogenic Orthostatic Hypotension"
"NCI DAC","phs000093.v2.p2","10/22/2009","01/08/2010","A Genome Wide Scan of Lung Cancer and Smoking"
"NCI DAC","phs000124.v2.p1","03/15/2011","03/15/2011","Genome-Wide Association Study of Neuroblastoma"
"NCI DAC","phs000147.v3.p1","06/11/2015","02/13/2014","CGEMS Breast Cancer GWAS"
"NCI DAC","phs000178.v11.p8","12/18/2019","08/17/2018","The Cancer Genome Atlas (TCGA)"
"NCI DAC","phs000187.v1.p1","05/18/2010","05/18/2011","High Density SNP Association Analysis of Melanoma"
"NCI DAC","phs000201.v2.p1","04/17/2014","01/12/2010","Acquired Copy Number Alterations in Adult Acute Myeloid Leukemia Genomes"
"NCI DAC","phs000206.v5.p3","09/25/2015","09/25/2015","Pancreatic Cancer Cohort and Case-Control Consortium (PanScan)"
"NCI DAC","phs000207.v1.p1","12/22/2009","12/22/2009","CGEMS Prostate Cancer GWAS - Stage 1 - PLCO"
"NCI DAC","phs000218.v22.p8","09/13/2019","04/10/2012","NCI TARGET: Therapeutically Applicable Research to Generate Effective Treatments"
"NCI DAC","phs000235.v15.p3","06/11/2020","06/20/2013","NCI Cancer Genome Characterization Initiative (CGCI)"
"NCI DAC","phs000260.v4.p2","10/13/2017","07/01/2011","Foregut Microbiome in Development of Esophageal Adenocarcinoma"
"NCI DAC","phs000299.v2.p1","02/28/2014","08/18/2010","Genentech Lung Cancer Sequencing"
"NCI DAC","phs000306.v4.p1","04/17/2014","02/01/2013","A Multiethnic GWAS of Prostate Cancer"
"NCI DAC","phs000328.v2.p1","12/30/2013","12/30/2013","Genome-wide Analysis of Lymphoma"
"NCI DAC","phs000336.v1.p1","05/27/2011","05/27/2011","DCEG Lung Cancer Study"
"NCI DAC","phs000340.v3.p1","04/16/2014","01/12/2012","Sequencing of ETP T-ALL"
"NCI DAC","phs000341.v2.p1","06/11/2013","06/11/2013","The Genetic Basis of Hypodiploid ALL"
"NCI DAC","phs000346.v2.p2","06/12/2015","06/12/2015","Cancer Genetic Markers of Susceptibility for Bladder Cancer (CGEMS Bladder)"
"NCI DAC","phs000348.v2.p1","12/22/2014","12/22/2014","Towards a Genomic Understanding of Myeloma"
"NCI DAC","phs000350.v1.p1","04/01/2014","04/01/2014","FHCRC - Whole-Exome Sequencing of Hereditary Prostate Cancer Families"
"NCI DAC","phs000351.v1.p1","05/17/2011","05/17/2011","NCI Genome-Wide Association Study of Renal Cell Carcinoma"
"NCI DAC","phs000352.v1.p1","01/19/2012","01/19/2012","Sequencing of Retinoblastoma"
"NCI DAC","phs000361.v1.p1","06/21/2011","06/21/2011","Genome-Wide Association Studies in Upper Gastrointestinal Cancers (Asian)"
"NCI DAC","phs000364.v2.p1","11/15/2013","11/15/2013","Genome-Wide Analysis of Chronic Lymphocytic Leukemia"
"NCI DAC","phs000369.v1.p1","04/19/2012","04/19/2012","Sequence Analysis of Mutations and Translocations Across Breast Cancer Subtypes"
"NCI DAC","phs000370.v2.p1","04/17/2014","04/17/2014","The Mutational Landscape of Head and Neck Squamous Cell Carcinoma"
"NCI DAC","phs000383.v1.p1","12/14/2012","12/14/2013","GWAS of Breast Cancer in the African Diaspora"
"NCI DAC","phs000384.v1.p1","07/30/2012","07/30/2012","Genentech Whole Genome Sequencing of Four Hepatocellular Carcinoma Patients"
"NCI DAC","phs000385.v1.p1","11/29/2011","11/29/2011","Epigenetic Profiling of Human Colorectal Cancer"
"NCI DAC","phs000395.v1.p1","07/20/2012","07/20/2012","CPMCRI Breast Health Cohort"
"NCI DAC","phs000396.v1.p1","05/07/2011","05/07/2011","DCEG Imputation Reference Dataset"
"NCI DAC","phs000409.v1.p1","05/30/2012","05/30/2012","Sequencing of Medulloblastoma"
"NCI DAC","phs000410.v1.p1","03/14/2014","03/14/2014","Whole Exome Sequencing for Colorectal Cancer"
"NCI DAC","phs000413.v2.p1","11/20/2012","08/20/2013","Transcriptome Sequencing of Pediatric AML FAB-M7"
"NCI DAC","phs000414.v1.p1","05/30/2012","03/02/2013","Whole Genome Sequencing of CBF-Leukemia"
"NCI DAC","phs000418.v2.p1","04/16/2014","05/15/2012","Temporal Dissection of Tumorigenesis in Primary Cancers"
"NCI DAC","phs000419.v1.p1","02/03/2012","02/03/2012","A Novel Recurrent Mutation in MITF Predisposes to Familial and Sporadic Melanoma"
